Event Title,ID,Tagged Page,"Jan 1, 2026","Feb 1, 2026","Mar 1, 2026","Apr 1, 2026","May 1, 2026","Jun 1, 2026",Average,Total,Median
Page View - Total Sessions,530_prod,Untagged Pages,334,450,504,362,413,231,382.33,2294.0,387.5
Page View - Total Sessions,530_prod,Dashboard (test),282,293,389,300,278,170,285.33,1712.0,287.5
Page View - Total Sessions,530_prod,Contracts - Deal Summary,219,275,359,229,217,132,238.5,1431.0,224.0
Page View - Total Sessions,530_prod,Contracts Dashboard,282,293,249,0,0,0,137.33,824.0,124.5
Page View - Total Sessions,530_prod,Document: Developer Sign,68,95,149,73,100,58,90.5,543.0,84.0
Page View - Total Sessions,530_prod,Deal Finder,158,202,169,0,0,0,88.17,529.0,79.0
Page View - Total Sessions,530_prod,Document: Sign in Person,32,60,63,46,63,45,51.5,309.0,53.0
Page View - Total Sessions,530_prod,Purchaser Portal,41,117,53,0,0,0,35.17,211.0,20.5
Page View - Total Sessions,530_prod,Excel Reporting,28,35,19,0,0,0,13.67,82.0,9.5
Page View - Total Sessions,530_prod,Project Settings,14,13,9,14,19,3,12.0,72.0,13.5
Page View - Total Sessions,530_prod,Project Settings - Dashboard,14,13,9,14,19,3,12.0,72.0,13.5
Page View - Total Sessions,530_prod,Project Settings - Staff Management,11,2,3,7,6,1,5.0,30.0,4.5
Page View - Total Sessions,530_prod,New Deal,13,8,5,0,0,0,4.33,26.0,2.5
Page View - Total Sessions,530_prod,Email Sent Log,5,11,7,0,0,0,3.83,23.0,2.5
Page View - Total Sessions,530_prod,Contracts - Disclosures & Amendments,6,9,2,2,1,1,3.5,21.0,2.0
Page View - Total Sessions,530_prod,Open and Sign Documents,0,0,0,7,10,4,3.5,21.0,2.0
Page View - Total Sessions,530_prod,Documents,7,6,3,0,0,0,2.67,16.0,1.5
Page View - Total Sessions,530_prod,Leads dashboard,1,2,4,1,6,2,2.67,16.0,2.0
Page View - Total Sessions,530_prod,Purchaser Realtor Reporting,6,6,3,0,0,0,2.5,15.0,1.5
Page View - Total Sessions,530_prod,Project Settings - Email,2,2,3,3,4,0,2.33,14.0,2.5
Page View - Total Sessions,530_prod,Account/Developer/SettingBuildingNew,2,0,1,3,4,0,1.67,10.0,1.5
Page View - Total Sessions,530_prod,Project Settings - Listing Setup,2,0,1,3,4,0,1.67,10.0,1.5
