Event Title,ID,Tagged Page,"Jun 1, 2025","Jul 1, 2025","Aug 1, 2025","Sep 1, 2025","Oct 1, 2025","Nov 1, 2025","Dec 1, 2025","Jan 1, 2026","Feb 1, 2026","Mar 1, 2026","Apr 1, 2026","May 1, 2026","Jun 1, 2026",Average,Total,Median
Page View - Total Sessions,null_prod,Untagged Pages,74,770,684,874,755,659,535,519,567,604,532,435,384,568.62,7392.0,567.0
Page View - Total Sessions,null_prod,Dashboard (test),37,357,296,272,258,243,162,179,168,235,156,104,88,196.54,2555.0,179.0
Page View - Total Sessions,null_prod,Contracts Dashboard,37,357,296,272,258,243,162,179,168,152,0,0,0,163.38,2124.0,168.0
Page View - Total Sessions,null_prod,Contracts - Deal Summary,29,299,240,187,161,168,178,189,172,178,141,85,54,160.08,2081.0,172.0
Page View - Total Sessions,null_prod,Document: Sign in Person,11,103,89,80,81,112,119,96,109,93,81,60,41,82.69,1075.0,89.0
Page View - Total Sessions,null_prod,Deal Finder,21,154,125,86,87,112,101,93,86,70,0,0,0,71.92,935.0,86.0
Page View - Total Sessions,null_prod,Document: Developer Sign,18,146,124,91,93,88,66,79,62,64,34,36,15,70.46,916.0,66.0
Page View - Total Sessions,null_prod,Purchaser Portal,8,112,95,105,106,82,51,55,76,52,0,0,0,57.08,742.0,55.0
Page View - Total Sessions,null_prod,Offplan Map,3,35,24,101,39,71,41,59,26,64,49,61,66,49.15,639.0,49.0
Page View - Total Sessions,null_prod,Realtor Portal,0,2,5,219,97,18,14,15,13,10,30,26,14,35.62,463.0,14.0
Page View - Total Sessions,null_prod,Vesa at Little Mountain,0,0,2,194,90,16,14,15,13,10,24,25,14,32.08,417.0,14.0
Page View - Total Sessions,null_prod,Excel Reporting,14,54,58,45,50,43,35,51,38,23,0,0,0,31.62,411.0,38.0
Page View - Total Sessions,null_prod,Offplan Home,1,1,5,176,58,9,11,11,16,7,25,17,12,26.85,349.0,11.0
Page View - Total Sessions,null_prod,New Deal,5,56,46,57,33,29,22,30,25,9,0,0,0,24.0,312.0,25.0
Page View - Total Sessions,null_prod,Price model,8,82,85,76,56,1,0,0,0,0,0,0,0,23.69,308.0,0.0
Page View - Total Sessions,null_prod,Listings,2,13,31,15,16,13,15,23,19,17,0,0,0,12.62,164.0,15.0
Page View - Total Sessions,null_prod,New Deal grid ,3,40,39,57,21,1,0,0,0,0,0,0,0,12.38,161.0,0.0
Page View - Total Sessions,null_prod,Project Settings,0,11,9,9,8,3,10,9,8,4,11,14,11,8.23,107.0,9.0
Page View - Total Sessions,null_prod,Project Settings - Dashboard,0,11,8,9,8,3,10,9,8,4,11,13,11,8.08,105.0,9.0
Page View - Total Sessions,null_prod,Open and Sign Documents,0,0,0,0,2,15,9,9,14,11,16,6,6,6.77,88.0,6.0
Page View - Total Sessions,null_prod,Documents,7,23,6,1,2,4,8,12,3,6,0,0,0,5.54,72.0,4.0
Page View - Total Sessions,null_prod,Contracts - Disclosures & Amendments,2,9,8,6,5,3,4,1,6,2,5,2,1,4.15,54.0,4.0
Page View - Total Sessions,null_prod,Purchaser Realtor Reporting,0,7,3,8,7,7,2,3,1,4,0,0,0,3.23,42.0,3.0
Page View - Total Sessions,null_prod,Project Settings - Staff Management,0,7,2,2,2,1,3,4,2,1,3,6,4,2.85,37.0,2.0
Page View - Total Sessions,null_prod,Quilchena West,0,0,0,17,3,1,0,0,0,0,6,0,0,2.08,27.0,0.0
Page View - Total Sessions,null_prod,Email Sent Log,0,3,3,1,0,1,12,3,0,0,0,0,0,1.77,23.0,0.0
Page View - Total Sessions,null_prod,Account/Developer/SettingBuildingNew,0,3,3,2,0,0,1,3,1,0,0,3,4,1.54,20.0,1.0
Page View - Total Sessions,null_prod,Project Settings - Listing Setup,0,3,3,2,0,0,1,3,1,0,0,3,4,1.54,20.0,1.0
